FIRST NAME,FIRST NAME INITIAL,LAST NAME,LAST NAME INITIAL,HOME ADDRESS,POST CODE,ACCOUNT NUMBER,MIN PARTIAL PAYMENT AMOUNT,AMOUNT OWING,SERVICES RENDERED,PHONE NUMBER,EMAIL ADDRESS,BUSINESS NAME,CITY,PROVINCE,BILL NO,INVOICE NO,LAST PAYMENT DATE (YYYY-M-D),LAST PAID AMOUNT
Admin,HAmz,Alnza,Nasz,3113 Monarhc,kb 3245 vv,11223311,,100,ambulance,+923331340404,d@g.com,,alaja,dasda,12321,BJV12121,2022-11-12,100
Moise,,Botbol,,3113 Monarch Drive,L3V 8K3,12345678,25,50,,+16479795947,moise@mobopay.ca,Orillia,OSMH Ambulance Used 02/15/2019,Quod dolores non ven,26426234254,26426234254,2022-12-28,0
Rochelle,,Mervin,,3114 Monarch Drive,L3V 8K4,12345679,25,51,,+16479795952,moise@mobopay.ca,Orillia,OSMH Ambulance Used 03/15/2019,Quod dolores non ven,26426234254,26426234254,2022-12-28,10
Moise,,Botbol,,3113 Monarch Drive,L3V 8K3,12345678,25,50,,+16479795957,moise@mobopay.ca,Orillia,OSMH Ambulance Used 02/15/2019,Quod dolores non ven,26426234254,26426234254,2022-12-28,0
Rochelle,,Mervin,,3114 Monarch Drive,L3V 8K4,12345679,25,51,,+16479795962,moise@mobopay.ca,Orillia,OSMH Ambulance Used 03/15/2019,Quod dolores non ven,26426234254,26426234254,2022-12-28,10
Moise,,Botbol,,3113 Monarch Drive,L3V 8K3,12345678,25,50,,+16479795967,moise@mobopay.ca,Orillia,OSMH Ambulance Used 02/15/2019,Quod dolores non ven,26426234254,26426234254,2022-12-28,0
Rochelle,,Mervin,,3114 Monarch Drive,L3V 8K4,12345679,25,51,,+16479795972,moise@mobopay.ca,Orillia,OSMH Ambulance Used 03/15/2019,Quod dolores non ven,26426234254,26426234254,2022-12-28,10
Moise,,Botbol,,3113 Monarch Drive,L3V 8K3,12345678,25,50,,+16479795977,moise@mobopay.ca,Orillia,OSMH Ambulance Used 02/15/2019,Quod dolores non ven,26426234254,26426234254,2022-12-28,0
Rochelle,,Mervin,,3114 Monarch Drive,L3V 8K4,12345679,25,51,,+16479795982,moise@mobopay.ca,Orillia,OSMH Ambulance Used 03/15/2019,Quod dolores non ven,26426234254,26426234254,2022-12-28,10
Moise,,Botbol,,3113 Monarch Drive,L3V 8K3,12345678,25,50,,+16479795987,moise@mobopay.ca,Orillia,OSMH Ambulance Used 02/15/2019,Quod dolores non ven,26426234254,26426234254,2022-12-28,0
Rochelle,,Mervin,,3114 Monarch Drive,L3V 8K4,12345679,25,51,,+16479795992,moise@mobopay.ca,Orillia,OSMH Ambulance Used 03/15/2019,Quod dolores non ven,26426234254,26426234254,2022-12-28,10
Moise,,Botbol,,3113 Monarch Drive,L3V 8K3,12345678,25,50,,+16479795997,moise@mobopay.ca,Orillia,OSMH Ambulance Used 02/15/2019,Quod dolores non ven,26426234254,26426234254,2022-12-28,0
Rochelle,,Mervin,,3114 Monarch Drive,L3V 8K4,12345679,25,51,,+16479796002,moise@mobopay.ca,Orillia,OSMH Ambulance Used 03/15/2019,Quod dolores non ven,26426234254,26426234254,2022-12-28,10
Moise,,Botbol,,3113 Monarch Drive,L3V 8K3,12345678,25,50,,+16479796007,moise@mobopay.ca,Orillia,OSMH Ambulance Used 02/15/2019,Quod dolores non ven,26426234254,26426234254,2022-12-28,0
Rochelle,,Mervin,,3114 Monarch Drive,L3V 8K4,12345679,25,51,,+16479796012,moise@mobopay.ca,Orillia,OSMH Ambulance Used 03/15/2019,Quod dolores non ven,26426234254,26426234254,2022-12-28,10
Moise,,Botbol,,3113 Monarch Drive,L3V 8K3,12345678,25,50,,+16479796017,moise@mobopay.ca,Orillia,OSMH Ambulance Used 02/15/2019,Quod dolores non ven,26426234254,26426234254,2022-12-28,0
